X,Y,cartodb_id,province,municipali
-3.85991486582006,40.319417327,623,Madrid,Móstoles
-3.85983116694006,40.3198924292,624,Madrid,Móstoles
-3.85983116694006,40.3198924292,625,Madrid,Móstoles
-3.85957028093007,40.3197725914,626,Madrid,Móstoles
-3.85957028093007,40.3197725914,627,Madrid,Móstoles
-3.79695537004004,40.2908524828,628,Madrid,Fuenlabrada
-3.68386204574002,40.1890287892,629,Madrid,Valdemoro
-3.79009520103004,40.2845410027,630,Madrid,Fuenlabrada
-3.85957028093007,40.3197725914,631,Madrid,Móstoles
-3.74917510310003,40.4041172969,632,Madrid,Madrid
-3.74917510310003,40.4041172969,633,Madrid,Madrid
-3.78503802023004,40.3161238225,634,Madrid,Leganés
-3.85652926595006,40.3267475671,635,Madrid,Móstoles
-3.85939775060007,40.3293176769,636,Madrid,Móstoles
-3.85798039975006,40.3178104112,637,Madrid,Móstoles
-3.87104054048007,40.4747199412,638,Madrid,Majadahonda
-3.91646687900009,40.287519754,639,Madrid,Arroyomolinos
-3.86286486221007,40.3247084212,640,Madrid,Móstoles
-4.00984807400015,40.2866947462999,641,Madrid,Navalcarnero
-3.35936989831,40.4854640297,642,Madrid,Alcalá de Henares
-4.01010856300015,40.2881702729999,643,Madrid,Navalcarnero
-3.75985581420003,40.3621630946,644,Madrid,Madrid
-3.86177193474007,40.3265965102,647,Madrid,Móstoles
-4.00984807400015,40.2866947462999,648,Madrid,Navalcarnero
-3.86693321835007,40.3223639655,649,Madrid,Móstoles
-3.67851968831002,40.3493774638,650,Madrid,Madrid
-3.87943156955007,40.3262608392,651,Madrid,Móstoles
-3.83588206278006,40.2992804965,652,Madrid,Fuenlabrada
-3.53824213580001,40.4266665753,653,Madrid,Coslada
-3.92556819429009,40.3154582899,654,Madrid,Móstoles
-3.92556819429009,40.3154582899,655,Madrid,Móstoles
-3.92556819429009,40.3154582899,656,Madrid,Móstoles
-3.86075475647006,40.3253119723,657,Madrid,Móstoles
-3.85858299680007,40.3265328253,658,Madrid,Móstoles
-3.84072424622006,40.2940454321,659,Madrid,Fuenlabrada
-3.73390726029003,40.329114585,660,Madrid,Getafe
-3.86551287323007,40.3181194405,661,Madrid,Móstoles
-3.86595635168007,40.3150101935,662,Madrid,Móstoles
-4.09868196735022,40.6711651418999,663,Madrid,Guadarrama
-4.09868196735022,40.6711651418999,664,Madrid,Guadarrama
-4.09868196735022,40.6711651418999,665,Madrid,Guadarrama
-3.86664726287007,40.4574981851,666,Madrid,Majadahonda
-3.83557393073006,40.297296448,667,Madrid,Fuenlabrada
-3.83557393073006,40.297296448,668,Madrid,Fuenlabrada
-3.87054066883007,40.4778651339,670,Madrid,Majadahonda
-3.58702187319001,40.3584758228,671,Madrid,Madrid
-3.58702187319001,40.3584758228,672,Madrid,Madrid
-3.88170399304007,40.3262603049,673,Madrid,Móstoles
-3.61619820331001,40.3656451404,674,Madrid,Madrid
-3.73188931762003,40.3285532894,675,Madrid,Getafe
-3.83588206278006,40.2992804965,676,Madrid,Fuenlabrada
-3.83588206278006,40.2992804965,677,Madrid,Fuenlabrada
-3.69396981320002,40.3926848407,678,Madrid,Madrid
-3.86051572301006,40.3224839194,679,Madrid,Móstoles
-3.86020257798007,40.3225058784,680,Madrid,Móstoles
-3.85991321568007,40.3226012784,681,Madrid,Móstoles
-3.85888158850007,40.3222435385,682,Madrid,Móstoles
-3.86081399252007,40.3226803423,683,Madrid,Móstoles
-3.85440432356006,40.3220160064,684,Madrid,Móstoles
-3.85110111580006,40.3210690847,685,Madrid,Móstoles
-3.85563443265006,40.3218555067,686,Madrid,Móstoles
-3.84948770506006,40.3208086907,687,Madrid,Móstoles
-3.84810705075006,40.3205527293,688,Madrid,Móstoles
-3.86051572301006,40.3224839194,689,Madrid,Móstoles
-3.73089267843003,40.3044874633,690,Madrid,Getafe
-3.70251558489002,40.2606529099,691,Madrid,Pinto
-3.86292153469006,40.4756416533,692,Madrid,Majadahonda
-3.86292153469006,40.4756416533,693,Madrid,Majadahonda
-4.0692634020002,40.5011649149999,694,Madrid,Valdemorillo
-3.62182780500001,40.158258622,695,Madrid,Ciempozuelos
-3.86036079470007,40.319329288,696,Madrid,Móstoles
-3.86036079470007,40.319329288,697,Madrid,Móstoles
-3.86036079470007,40.319329288,698,Madrid,Móstoles
-3.86036079470007,40.319329288,700,Madrid,Móstoles
-3.86007709689006,40.3190868863,701,Madrid,Móstoles
-3.84935832668006,40.3253311712,702,Madrid,Móstoles
-3.75345345806003,40.2347589414,703,Madrid,Parla
-3.75638225549003,40.2312819666,704,Madrid,Parla
-3.90451573923008,40.3593507303,705,Madrid,Villaviciosa de Odón
-3.85664163178006,40.333062059,706,Madrid,Móstoles
-3.85679008097006,40.3331714063,707,Madrid,Móstoles
-3.85706809547006,40.3333761442,708,Madrid,Móstoles
-3.85698445697006,40.3330267158,709,Madrid,Móstoles
-3.67131420200002,41.006790827,710,Madrid,Villavieja del Lozoya
-3.67131420200002,41.006790827,711,Madrid,Villavieja del Lozoya
-3.85572831949006,40.3373058809,712,Madrid,Alcorcón
-3.85572831949006,40.3373058809,713,Madrid,Alcorcón
